source,country,bias,factual_reporting
fox59.com,usa,neutral,high
fox19.com,usa,neutral,high
fox17online.com,usa,neutral,high
wwltv.com,usa,neutral,high
wxow.com,usa,neutral,high
wxyz.com,usa,neutral,high
wyff4.com,usa,neutral,high
wymt.com,usa,neutral,high
wytv.com,usa,neutral,high
rocketcitynow.com,usa,neutral,high
wzmq19.com,usa,neutral,high
wzzm13.com,usa,neutral,high
yle.fi,finland,neutral,mixed
yorknewstimes.com,usa,neutral,high
yorkshirepost.co.uk,united kingdom,neutral,high
yougov.com,usa,neutral,high
zdnet.com,usa,neutral,high
350.org,usa,left,high
350africa.org,usa,left,high
350.org.nz,usa,left,high
350asia.org,usa,left,high
350.org.au,usa,left,high
350.org,usa,left,high
350turkiye.org,usa,left,high
accountable.us,usa,left,mixed
actblue.com,usa,left,mixed
act.tv,usa,left,mixed
actionnetwork.org,usa,left,mixed
aftonbladet.se,sweden,left,mixed
alabamareflector.com,usa,left,high
alaskabeacon.com,usa,left,high
aldianews.com,usa,left,mixed
afj.org,usa,left,high
altnews.in,india,left,high
alternet.org,usa,left,high
aidc.org.za,south africa,left,high
americanbridgepac.org,usa,left,mixed
americandemocracyscorecard.org,usa,left,mixed
americanoversight.org,usa,left,mixed
au.org,usa,left,high
angrywhitemen.org,usa,left,mixed
anthropocenealliance.org,usa,left,high
anthropocenemagazine.org,usa,left,high
azmirror.com,usa,left,high
arkansasadvocate.com,usa,left,high
attackthesystem.com,usa,left,mixed
atadvocacy.com,usa,left,mixed
autostraddle.com,usa,left,mixed
baltimoresun.com,usa,left,mixed
ebar.com,usa,left,high
beingliberal.org,usa,left,mixed
berkeleyside.org,usa,left,high
billmoyers.com,usa,left,mixed
blackagendareport.com,usa,left,mixed
blackamericaweb.com,usa,left,mixed
blacklivesmatter.com,usa,left,mixed
blackmainstreet.net,usa,left,mixed
theblackwallsttimes.com,usa,left,mixed
boingboing.net,usa,left,mixed
bolde.com,usa,left,mixed
bostonreview.net,usa,left,high
breakthroughnews.org,usa,left,mixed
briarpatchmagazine.com,canada,left,high
brit.co,usa,left,mixed
brut.media,france,left,mixed
btselem.org,israel,left,mixed
buckscountybeacon.com,usa,left,mixed
bust.com,usa,left,mixed
calltoactivism.com,usa,left,mixed
canadafactcheck.ca,canada,left,mixed
antihate.ca,canada,left,high
canadiandimension.com,canada,left,mixed
capitalandmain.com,usa,left,high
capitolnewsillinois.com,usa,left,high
care2.com,usa,left,mixed
ceasefiremagazine.co.uk,united kingdom,left,high
americanprogress.org,usa,left,mixed
biologicaldiversity.org,usa,left,high
prwatch.org,usa,left,high
c4ss.org,usa,left,mixed
change.org,usa,left,mixed
changeresearch.com,usa,left,mixed
chicagoreader.com,usa,left,high
chicagoreporter.com,usa,left,high
china.org.cn,china,left-center,mixed
citybeat.com,usa,left,high
citizendata.com,usa,left,mixed
civiqs.com,usa,left,high
clevescene.com,usa,left,high
climasolutions.org,usa,left,mixed
climatechangenews.com,united kingdom,left,high
climatejusticealliance.org,usa,left,high
codastory.com,usa,left,high
codepink.org,usa,left,mixed
coloradonewsline.com,usa,left,high
coloradotimesrecorder.com,usa,left,high
colorlines.com,usa,left,high
colorofchange.org,usa,left,mixed
columbusfreepress.com,usa,left,mixed
comicsands.com,usa,left,mixed
commondreams.org,usa,left,high
communemag.com,usa,left,mixed
cpusa.org,usa,left,mixed
commonwealthbeacon.org,usa,left,high
consortiumnews.com,usa,left,mixed
copblock.org,usa,left,mixed
cosmopolitan.com,usa,left,mixed
countercurrents.org,india,left,mixed
counterfire.org,united kingdom,left,mixed
counterpunch.org,usa,left,mixed
countervortex.org,usa,left,mixed
crikey.com.au,australia,left,high
crimethinc.com,usa,left,high
crooked.com,usa,left,mixed
crooksandliars.com,usa,left,mixed
currentaffairs.org,usa,left,high
curvemag.com,usa,left,high
etc.se,sweden,left,mixed
thedailybeast.com,usa,left,mixed
dailydot.com,usa,left,high
dailykos.com,usa,left,mixed
dailymontanan.com,usa,left,high
dailyrecord.co.uk,united kingdom,left,mixed
dailysoundandfury.com,usa,left,mixed
dallasvoice.com,usa,left,high
damemagazine.com,usa,left,high
davidpakman.com,usa,left,mixed
deadspin.com,usa,left,high
defenddemocracy.press,greece,left,mixed
democracychronicles.org,usa,left,mixed
democracydocket.com,usa,left,high
democracyguardian.com,usa,left,mixed
democracyjournal.org,usa,left,high
democracynow.org,usa,left,high
dsausa.org,usa,left,mixed
democraticunderground.com,usa,left,mixed
deshabhimani.com,india,left,mixed
desmog.com,canada,left,high
metrotimes.com,usa,left,high
taz.de,germany,left,mixed
dissentmagazine.org,usa,left,high
doubledown.news,united kingdom,left,mixed
dream4america.org,usa,left,mixed
drudge.com,usa,left,mixed
earthfirstjournal.news,usa,left,mixed
ecowatch.com,usa,left,mixed
egbertowillies.com,usa,left,high
electoral-vote.com,netherlands,left,high
electronicintifada.net,usa,left,mixed
elitedaily.com,usa,left,mixed
erininthemorning.com,usa,left,mixed
esquire.com,usa,left,mixed
euromedmonitor.org,switzerland,left,mixed
everydayfeminism.com,usa,left,mixed
evonomics.com,usa,left,high
exposedbycmd.org,usa,left,high
fairplanet.org,germany,left,mixed
feministcurrent.com,canada,left,mixed
fifthestate.org,usa,left,high
finnishnews.fi,finland,left,mixed
floridaphoenix.com,usa,left,high
foodandwaterwatch.org,usa,left,mixed
foreignpolicynews.org,usa,left,mixed
freepress.org,usa,left,mixed
ffrf.org,usa,left,mixed
freedomnews.org.uk,united kingdom,left,high
frontpageslive.com,usa,left,mixed
freespeech.org,usa,left,mixed
futureforwardusa.org,usa,left,mixed
gawker.com,usa,left,mixed
gaycitynews.com,usa,left,high
gaystarnews.com,united kingdom,left,mixed
gaytimes.co.uk,united kingdom,left,high
geopoliticsalert.com,usa,left,mixed
georgiarecorder.com,usa,left,high
giffords.org,usa,left,mixed
ggenyc.org,usa,left,high
gizmodo.com,usa,left,high
glaad.org,usa,left,high
globalvoices.org,usa,left,high
good.is,usa,left,high
gq.com,usa,left,high
bradford-delong.com,usa,left,high
greenleft.org.au,australia,left,high
greenlining.org,usa,left,mixed
guardianlv.com,usa,left,mixed
haaretz.com,israel,left,high
harpersbazaar.com,usa,left,mixed
harvard.edu,usa,left,high
hightimes.com,usa,left,mixed
hillreporter.com,usa,left,high
hopenothate.org.uk,united kingdom,left,high
huffpost.com,usa,left,mixed
hrc.org,usa,left,high
idahocapitalsun.com,usa,left,high
marxist.com,united kingdom,left,mixed
inthesetimes.com,usa,left,mixed
alligator.org,usa,left,high
indivisible.org,usa,left,mixed
indyweek.com,usa,left,mixed
inequalitymedia.org,usa,left,high
juancole.com,usa,left,mixed
inkstickmedia.com,usa,left,mixed
ineteconomics.org,usa,left,high
ips-dc.org,usa,left,mixed
intpolicydigest.org,usa,left,high
isj.org.uk,united kingdom,left,mixed
internationalviewpoint.org,united kingdom,left,mixed
intrepidreport.com,usa,left,mixed
iowacapitaldispatch.com,usa,left,mixed
iowastartingline.com,usa,left,high
itsgoingdown.org,usa,left,mixed
jacobin.com,usa,left,high
jewishcurrents.org,united states,left,mixed
jewishvoiceforpeace.org,united states,left,mixed
jezebel.com,usa,left,mixed
joebiden.com,usa (44/180 press freedom),left,mixed
jungewelt.de,germany,left,mixed
junkee.com,australia,left,mixed
kansasreflector.com,usa,left,high
kentuckylantern.com,usa,left,high
knock-la.com,usa,left,mixed
lavendermagazine.com,usa,left,high
laweekly.com,usa,left,mixed
lcv.org,usa,left,mixed
leftfootforward.org,united kingdom,left-center,mixed
leftvoice.org,usa,left,mixed
legalreader.com,usa,left,mixed
leicester.news,united kingdom,left,mixed
lemediatv.fr,france,left,mixed
monde-diplomatique.fr,france,left,high
leoweekly.com,usa,left,high
lgbtqnation.com,usa,left,mixed
libcom.org,usa,left,mixed
liberalamerica.org,usa,left,mixed
liberationnews.org,usa,left,mixed
littlegreenfootballs.com,usa,left,high
lailluminator.com,usa,left,high
mg.co.za,south africa,left,mixed
mainebeacon.com,usa,left,high
mainemorningstar.com,usa,left,high
mapresearch.org,usa,left,mixed
marxists.org,united states,left,mixed
mashable.com,usa,left,mixed
mediamatters.org,usa,left,high
meduza.io,latvia,left,high
meidasnews.com,usa,left,mixed
metroweekly.com,usa,left,high
merryjane.com,usa (45/180 press freedom),left,mixed
miaminewtimes.com,usa,left-center,high
michiganadvance.com,usa,left,high
middleeastmonitor.com,usa,left,mixed
muncievoice.com,usa,left,mixed
milwaukeeindependent.com,usa,left,mixed
minnesotareformer.com,usa,left,high
mississippifreepress.org,usa,left,high
missouriindependent.com,usa,left,high
monthlyreview.org,usa,left,mixed
mronline.org,usa,left,mixed
msmagazine.com,usa (44/180 press freedom),left,high
msnbc.com,usa,left,mixed
nationofchange.org,usa,left,mixed
traindemocrats.org,usa,left,high
nilc.org,usa,left,mixed
now.org,usa,left,mixed
nwlc.org,usa,left,mixed
nrdc.org,usa,left,mixed
ncnewsline.com,usa,left-center,mixed
nebraskaexaminer.com,usa,left,high
nd-aktuell.de,germany,left,mixed
nevadacurrent.com,usa,left,high
newint.org,united kingdom,left-center,high
newjerseymonitor.com,usa,left,high
newpol.org,usa,left,mixed
newrepublic.com,usa,left,high
newstatesman.com,united kingdom,left-center,high
amsterdamnews.com,usa,left,high
nysfocus.com,usa,left,high
nymag.com,usa,left,high
newyorker.com,usa,left,high
newsclick.in,india,left,mixed
newscorpse.com,usa,left,mixed
newsfromthestates.com,usa,left,high
newshounds.us,usa,left,mixed
newsone.com,usa,left,mixed
nonprofitquarterly.org,usa,left,mixed
northdakotamonitor.com,usa,left,high
novaramedia.com,united kingdom,left,mixed
nowtoronto.com,canada,left,high
oaklandside.org,usa,left,high
occupy.com,usa,left,high
ohiocapitaljournal.com,usa,left,mixed
oklahomavoice.com,usa,left,high
oko.press,poland,left,high
onegreenplanet.org,usa,left,mixed
opednews.com,usa,left,mixed
opensocietyfoundations.org,usa,left,mixed
oregoncapitalchronicle.com,usa,left,high
orlandoweekly.com,usa,left,high
out.com,usa,left,mixed
oxfamamerica.org,usa,left,mixed
pnn.ps,palestine,left,mixed
palinfo.com,palestine,left,mixed
palmerreport.com,usa,left,mixed
pastemagazine.com,usa,left,high
penncapital-star.com,usa,left,mixed
peoplefor.org,usa,left,mixed
people.com,usa,left,high
peoplespolicyproject.org,usa,left,mixed
peoplesworld.org,usa,left,mixed
pnhp.org,usa,left,high
pinacnews.com,usa,left,high
thepinknews.com,united kingdom,left,high
politicalflare.com,usa,left,mixed
politicalresearch.org,usa,left,mixed
polinews.org,usa,left,mixed
politicususa.com,usa,left,high
politizoom.com,usa,left,mixed
popular.info,usa,left,high
popularresistance.org,usa,left,mixed
portside.org,usa,left,mixed
postcarbon.org,usa,left,mixed
pressprogress.ca,canada,left-center,high
presswatchers.org,usa,left,mixed
pridesource.com,usa,left,mixed
prismreports.org,usa,left,high
boldprogressives.org,usa,left,mixed
progressive.international,usa,left,mixed
projectcensored.org,usa,left,high
psyche.co,australia,left,high
littlesis.org,usa,left,mixed
queerty.com,usa,left,high
rabble.ca,canada,left,high
rawstory.com,usa,left,high
rsn.org,usa,left,mixed
readingthepictures.org,usa,left,mixed
therealnews.com,usa,left,high
reckon.news,usa,left,mixed
redpepper.org.uk,united kingdom,left,high
refinery29.com,usa (45/180 press freedom),left,mixed
republicreport.org,united states,left,high
resilience.org,usa,left,mixed
resolutesquare.com,usa,left,high
revcom.us,usa,left,mixed
communistusa.org,usa,left,mixed
rewirenewsgroup.com,usa,left,high
rhodeislandcurrent.com,usa,left,high
rightwingwatch.org,usa,left,high
trofire.com,usa (44/180 press freedom),left,mixed
rollingstone.com,usa,left,high
salon.com,usa,left,mixed
sacurrent.com,usa,left,high
sandersinstitute.org,usa,left,mixed
sfbayview.com,usa,left,mixed
scarymommy.com,usa (45/180 press freedom),left,mixed
secondnexus.com,usa,left,mixed
sentientmedia.org,usa,left,high
seventeen.com,usa,left,high
shadowproof.com,usa,left,high
shondaland.com,usa,left,mixed
sightline.org,usa,left,mixed
skwawkbox.org,united kingdom,left,mixed
slate.com,usa,left,mixed
readsludge.com,usa,left,high
smirkingchimp.com,usa,left,mixed
worldsocialism.org,united kingdom,left,mixed
socialistworker.org,usa,left,high
socialistworker.co.uk,united kingdom,left,mixed
sourcenm.com,usa,left,high
sourcewatch.org,usa,left,mixed
scdailygazette.com,usa,left,high
southdakotasearchlight.com,usa,left,high
splcenter.org,usa,left,high
splinter.com,usa,left,mixed
spotlightdelaware.org,usa,left,high
riverfronttimes.com,usa,left,high
stpete4peace.org,usa,left,mixed
stateline.org,usa,left,high
sunrisemovement.org,usa,left,mixed
surveyusa.net,usa,left,high
talkingpointsmemo.com,usa,left,mixed
teenvogue.com,usa,left,mixed
tnholler.com,usa,left,high
tennesseelookout.com,usa,left,high
19thnews.org,usa,left,high
advocate.com,usa,left,high
americanindependent.com,usa,left,mixed
prospect.org,usa,left,high
austinchronicle.com,usa,left,high
thebaffler.com,usa (44/180 press freedom),left,high
breachmedia.ca,canada,left,high
theburningspear.com,usa,left,high
thecanary.co,united kingdom,left,mixed
climaterealityproject.org,usa,left,mixed
thecradle.co,usa,left,mixed
thecut.com,usa,left,mixed
daily49er.com,usa,left,high
thedailyvox.co.za,south africa,left,high
democratichub.com,usa,left,mixed
thedodo.com,usa,left,mixed
dworkinreport.com,usa,left,mixed
thefloridasqueeze.com,usa,left,mixed
thegailygrind.com,usa,left,mixed
gaycenter.org,usa,left,high
goodmenproject.com,usa,left,high
gravelinstitute.org,usa,left,mixed
ilrc.org,usa,left,high
indypendent.org,usa,left,high
theintellectualist.com,usa,left,mixed
levernews.com,usa,left,high
thelily.com,usa,left,high
thelondoneconomic.com,usa,left,mixed
readthemaple.com,canada,left,mixed
themarysue.com,usa,left,mixed
themilitant.com,usa,left,mixed
themonthly.com.au,australia,left,high
morningstaronline.co.uk,united kingdom,left,mixed
thenarwhal.ca,canada,left,high
thenation.com,usa,left,high
nationalmemo.com,usa,left,mixed
thenewcivilrightsmovement.com,usa,left,mixed
theneweuropean.co.uk,united kingdom,left,mixed
thenewinquiry.com,usa,left,mixed
palestinechronicle.com,usa,left,mixed
peoplesdispatch.org,unknown,left,mixed
phnompenhpost.com,cambodia,left,mixed
progressive.org,usa,left,mixed
populist.com,usa,left,mixed
theroot.com,usa,left,mixed
sierraclub.org,usa,left,mixed
thesolutionsproject.org,usa,left,high
thelasource.com,canada,left,mixed
thestand.org,usa,left,high
straightdope.com,usa,left,mixed
thestranger.com,usa,left-center,high
texasobserver.org,usa,left,high
villagevoice.com,usa,left,high
voice-online.co.uk,united kingdom,left,mixed
thewalrus.ca,canada,left,high
washingtonspectator.org,usa,left,high
washingtonstatestandard.com,usa,left,high
theweek.com,usa,left,high
worldcantwait.net,usa,left,mixed
thegrio.com,usa,left,mixed
thisisthezerohour.com,usa,left,high
them.us,usa,left,high
thinkpol.ca,canada,left,high
this.org,canada,left,mixed
towleroad.com,usa,left,high
treehugger.com,usa,left,high
truthdig.com,usa,left-center,high
thetruth.com,usa,left,high
truthout.org,usa,left,mixed
truththeory.com,united kingdom,left,high
unicornriot.ninja,usa,left,high
unrwa.org,jordan,left,mixed
uproxx.com,usa,left,mixed
upworthy.com,usa,left,mixed
url-media.com,usa,left,mixed
usrtk.org,usa,left,mixed
utahnewsdispatch.com,usa,left,high
vanityfair.com,usa,left,mixed
vegansociety.com,united kingdom,left,high
venezuelanalysis.com,usa,left,mixed
vox.com,usa,left,high
wallstreetonparade.com,usa,left-center,high
washingtonbabylon.com,usa,left,high
washingtonpress.com,usa,left,mixed
washingtonian.com,usa,left,high
wrmea.org,usa,left,mixed
wearyourvoicemag.com,usa,left,high
wehuntedthemammoth.com,usa,left,high
wellandgood.com,usa,left,mixed
westvirginiawatch.com,usa,left,high
whowhatwhy.org,usa,left,mixed
wisconsinexaminer.com,usa,left,high
wonkette.com,usa,left,mixed
workers.org,usa,left,mixed
wsws.org,usa,left,mixed
wyofile.com,usa,left,high
xtramagazine.com,canada,left,high
yesmagazine.org,usa,left,high
tyt.com,usa,left,mixed
znetwork.org,usa,left,high
zona.media,russia,left,mixed
1news.co.nz,new zealand,left-center,high
100daysinappalachia.com,usa,left-center,high
100milefreepress.net,canada,left-center,high
404media.co,usa,left-center,mixed
604now.com,canada,left-center,mixed
972mag.com,israel,left-center,high
go.com,usa,left-center,high
abc.net.au,australia,left-center,high
abc11.com,usa,left-center,high
abbynews.com,canada,left-center,high
aberdeennews.com,usa,left-center,high
reporternews.com,usa,left-center,high
abovethelaw.com,usa,left-center,high
theadvocate.com,usa,left-center,high
aceshowbiz.com,indonesia,left-center,mixed
aclu.org,usa,left-center,mixed
adaderana.lk,sri lanka,left-center,mixed
theadanews.com,usa,left-center,high
aeon.co,australia,left-center,high
affinitymagazine.us,usa,left-center,mixed
africanarguments.org,united kingdom,left-center,high
africanews.com,france,left-center,mixed
afrolanews.org,usa,left-center,high
agassizharrisonobserver.com,canada,left-center,high
afp.com,france,left-center,high
ahvalnews.com,cyprus,left-center,mixed
airdrietoday.com,canada,left-center,high
messagemedia.co,usa,left-center,high
durhamregion.com,canada,left-center,high
beaconjournal.com,usa,left-center,high
aljazeera.com,qatar,left-center,mixed
al-monitor.com,usa,left-center,high
alamedapost.com,usa,left-center,high
alamogordonews.com,usa,left-center,high
guttmacher.org,usa,left-center,high
alaskahighwaynews.ca,canada,left-center,high
alaskasurveyresearch.com,usa,left-center,mixed
timesunion.com,usa,left-center,high
albertaviews.ca,canada,left-center,high
aldergrovestar.com,canada,left-center,high
allgov.com,usa,left-center,high
the-review.com,usa,left-center,high
simcoe.com,canada,left-center,high
allthatsinteresting.com,usa,left-center,mixed
northbaynipissing.com,canada,left-center,high
amberintegrated.com,usa,left-center,high
amny.com,usa,left-center,high
americamagazine.org,usa,left-center,high
americancrimejournal.com,usa,left-center,mixed
americanimmigrationcouncil.org,usa,left-center,high
americanpublicmedia.org,usa,left-center,high
americanpurpose.com,usa,left-center,high
americashealthrankings.org,usa,left-center,high
amestrib.com,usa,left-center,high
amherstbulletin.com,usa,left-center,high
amnesty.org,united kingdom,left-center,high
thespec.com,canada,left-center,high
heraldbulletin.com,usa,left-center,high
independentmail.com,usa,left-center,high
andovertownsman.com,usa,left-center,high
annistonstar.com,usa,left-center,high
adl.org,usa,left-center,high
antigojournal.com,usa,left-center,high
aol.com,usa,left-center,high
apmreports.org,usa,left-center,high
apple.com,usa,left-center,mixed
aptnnews.ca,canada,left-center,high
areomagazine.com,united kingdom,left-center,high
azcapitoltimes.com,usa,left-center,high
azcir.org,usa,left-center,high
tucson.com,usa,left-center,high
azdailysun.com,usa,left-center,high
azluminaria.org,usa,left-center,high
azcentral.com,usa,left-center,high
arktimes.com,usa,left-center,high
arkvalleyvoice.com,usa,left-center,high
armscontrol.org,usa,left-center,high
insideottawavalley.com,canada,left-center,high
arrowlakesnews.com,canada,left-center,high
arte.tv,france/germany,left-center,mixed
ashcroftcachecreekjournal.com,canada,left-center,high
ashepostandtimes.com,usa,left-center,high
citizen-times.com,usa,left-center,high
avlwatchdog.org,usa,left-center,high
apg-wi.com,usa,left-center,high
dailyindependent.com,usa,left-center,high
ashland.news,usa,left-center,high
times-gazette.com,usa,left-center,high
starbeacon.com,usa,left-center,high
asiasentinel.com,usa,left-center,mixed
aspeniaonline.it,italy,left-center,high
aspeninstitute.org,usa,left-center,high
sasktoday.ca,canada,left-center,high
apnews.com,usa,left-center,high
atavist.com,usa,left-center,high
townandcountrytoday.com,canada,left-center,high
onlineathens.com,usa,left-center,high
athensreview.com,usa,left-center,high
enewscourier.com,usa,left-center,high
atholdailynews.com,usa,left-center,high
atlantablackstar.com,usa,left-center,mixed
ajc.com,usa,left-center,high
theatlantic.com,usa,left-center,high
attn.com,usa,left-center,high
yorkregion.com,canada,left-center,high
statesman.com,usa,left-center,high
austindailyherald.com,usa,left-center,high
autoblog.com,usa,left-center,mixed
avclub.com,usa,left-center,high
averyjournal.com,usa,left-center,high
axios.com,usa,left-center,high
wired.com,usa,left-center,high
balkaninsight.com,united kingdom,left-center,high
thecourier.com.au,australia,left-center,high
baltimoresun.com,usa,left-center,high
bangordailynews.com,usa,left-center,high
baptistnews.com,usa,left-center,high
barrietoday.com,canada,left-center,high
examiner-enterprise.com,usa,left-center,high
bashawstar.com,canada,left-center,high
theadvocate.com,usa,left-center,high
battlecreekenquirer.com,usa,left-center,high
baxterbulletin.com,usa,left-center,high
baynature.org,usa,left-center,high
beaconresearch.com,usa,left-center,high
timesonline.com,usa,left-center,high
bbc.com,united kingdom,left-center,high
register-herald.com,usa,left-center,high
tmnews.com,usa,left-center,high
belgrade-news.com,usa,left-center,high
bellingcat.com,netherlands,left-center,mixed
bellinghamherald.com,usa,left-center,high
belltower.news,germany,left-center,mixed
beloitdailynews.com,usa,left-center,high
bendigoadvertiser.com.au,australia,left-center,high
bsgco.com,usa,left-center,mixed
georgetown.edu,usa,left-center,high
berkshireeagle.com,usa,left-center,high
berliner-zeitung.de,usa,left-center,mixed
bighorncountynews.com,usa,left-center,high
bigtimberpioneer.net,usa,left-center,high
gatesfoundation.org,usa,left-center,high
bing.com,usa,left-center,high
birminghammail.co.uk,united kingdom,right-center,mixed
blackenterprise.com,usa,left-center,high
blackburnnews.com,canada,left-center,high
blackpressusa.com,usa,left-center,high
bleacherreport.com,usa,left-center,mixed
blocktelegraph.io,usa,left-center,mixed
bloomberg.com,usa,left-center,mixed
southernminn.com,usa,left-center,high
heraldtimesonline.com,usa,left-center,high
wataugademocrat.com,usa,left-center,high
bdtonline.com,usa,left-center,high
bluestemprairie.com,usa,left-center,high
bluetent.us,usa,left-center,mixed
bnnbloomberg.ca,canada,left-center,high
boltsmag.org,usa,left-center,high
lakelandtoday.ca,canada,left-center,high
boredpanda.com,lithuania,left-center,high
borgenmagazine.com,usa,left-center,high
borgenproject.org,usa,left-center,high
boston.com,usa,left-center,high
bostonglobe.com,usa,left-center,high
bostonmagazine.com,usa,left-center,high
boundless.com,usa,left-center,high
bowenislandundercurrent.com,canada,left-center,high
bgr.com,usa,left-center,high
chronicle-express.com,usa,left-center,high
muskokaregion.com,canada,left-center,high
bramptonguardian.com,canada,left-center,high
braunresearch.com,usa,left-center,high
breakingnews.ie,ireland,left-center,high
brennancenter.org,usa,left-center,high
enterprisenews.com,usa,left-center,high
brookings.edu,usa,left-center,high
brownpoliticalreview.org,usa,left-center,high
phillyburbs.com,usa,left-center,high
bucyrustelegraphforum.com,usa,left-center,high
thebulletin.org,usa,left-center,high
bpb.de,germany,left-center,high
bunkhistory.org,usa,left-center,mixed
burlingtoncountytimes.com,usa,left-center,high
burlingtonfreepress.com,usa,left-center,high
insidehalton.com,canada,left-center,high
burnabynow.com,canada,left-center,high
burnslakelakesdistrictnews.com,canada,left-center,high
hometownsource.com,usa,left-center,high
businessinsider.com,usa,left-center,mixed
bustle.com,usa,left-center,mixed
buzzfeed.com,usa,left-center,mixed
buzzfeednews.com,usa,left-center,mixed
bylinetimes.com,united kingdom,left-center,high
caledonenterprise.com,canada,left-center,high
caledoniacourier.com,canada,left-center,high
calmatters.org,usa,left-center,high
cambodiadaily.com,usa,left-center,mixed
hngnews.com,usa,left-center,high
cambridgetimes.ca,canada,left-center,high
campbellrivermirror.com,canada,left-center,high
mpnnow.com,usa,left-center,high
canadaland.com,canada,left-center,high
canarymedia.com,usa,left-center,high
canberratimes.com.au,australia,left-center,high
cantonrep.com,usa,left-center,high
capitalgazette.com,usa,left-center,high
carboncountynews.com,usa,left-center,high
carbontracker.org,united kingdom,left-center,high
caribbeanlifenews.com,usa,left-center,high
currentargus.com,usa,left-center,high
carnegieendowment.org,usa,left-center,high
carolinapublicpress.org,usa,left-center,high
carriagetownenews.com,usa,left-center,high
thecarrollnews.com,usa,left-center,high
castlegarnews.com,canada,left-center,high
castoradvance.com,canada,left-center,high
catchnews.com,india,left-center,mixed
cbc.ca,canada,left-center,high
cbsnews.com,usa,left-center,high
cbsnews.com,usa,left-center,high
cbslocal.com,usa,left-center,high
cecildaily.com,usa,left-center,high
censor.net,ukraine,left-center,mixed
c4ads.org,usa,left-center,high
climateintegrity.org,usa,left-center,mixed
cgdev.org,usa,left-center,high
centerforinquiry.org,usa,left-center,high
internationalpolicy.org,usa,left-center,high
cnas.org,usa,left-center,high
populardemocracy.org,usa,left-center,high
publicintegrity.org,usa,left-center,high
cspinet.org,usa,left-center,mixed
cbpp.org,usa,left-center,high
focustaiwan.tw,taiwan,left-center,high
centralwesterndaily.com.au,australia,left-center,high
chalkbeat.org,usa,left-center,high
publicopiniononline.com,usa,left-center,high
channel4.com,united kingdom,left-center,high
wvgazettemail.com,usa,left-center,high
charlotteobserver.com,usa,left-center,high
cheddar.com,usa,left-center,high
cheboygannews.com,usa,left-center,high
chemainusvalleycourier.ca,canada,left-center,high
courierpostonline.com,usa,left-center,high
suntimes.com,usa,left-center,high
chickashanews.com,usa,left-center,high
chillicothegazette.com,usa,left-center,high
theprogress.com,canada,left-center,high
chinaglobalsouth.com,usa,left-center,high
christiancentury.org,usa,left-center,high
circlevilleherald.com,usa,left-center,high
citizentruth.org,usa,left-center,mixed
citizensforethics.org,usa,left-center,mixed
ctj.org,usa,left-center,mixed
bloomberg.com,usa,left-center,high
cityandstateny.com,usa,left-center,high
roccitymag.com,usa,left-center,high
cknewstoday.ca,canada,left-center,high
cknxnewstoday.ca,canada,left-center,high
claremoreprogress.com,usa,left-center,high
clarionledger.com,usa,left-center,high
claritycampaigns.com,usa,left-center,mixed
theleafchronicle.com,usa,left-center,high
cleantechnica.com,usa,left-center,high
clearwatertimes.com,canada,left-center,high
cleburnetimesreview.com,usa,left-center,high
clintonherald.com,usa,left-center,high
cloverdalereporter.com,canada,left-center,high
cnbc.com,usa,left-center,mixed
cnn.com,usa,left-center,mixed
coastmountainnews.com,canada,left-center,high
coed.com,usa,left-center,mixed
thedailyreporter.com,usa,left-center,high
coloradopolitics.com,usa,left-center,high
columbiatribune.com,usa,left-center,high
cjr.org,usa,left-center,high
colombiareports.com,columbia,left-center,mixed
dispatch.com,usa,left-center,high
investigaterussia.org,usa,left-center,high
commoncause.org,usa|,left-center,high
commonwealmagazine.org,usa,left-center,high
commonwealthfund.org,usa,left-center,high
comoxvalleyrecord.com,canada,left-center,high
complex.com,usa,left-center,mixed
ctpost.com,usa,left-center,high
pogo.org,usa,left-center,mixed
coopercrier.com,usa,left-center,high
thetimestribune.com,usa,left-center,high
the-leader.com,usa,left-center,high
caller.com,usa,left-center,high
corsicanadailysun.com,usa,left-center,high
coshoctontribune.com,usa,left-center,high
cowichanvalleycitizen.com,canada,left-center,high
cranbrooktownsman.com,canada,left-center,high
crestonvalleyadvance.ca,canada,left-center,high
azpbs.org,usa,left-center,high
crosscut.com,usa,left-center,high
crossville-chronicle.com,usa,left-center,high
ctmirror.org,usa,left-center,high
cullmantimes.com,usa,left-center,high
times-news.com,usa,left-center,high
cursor.org,usa,left-center,mixed
cygn.al,usa,left-center,high
dabangasudan.org,sudan,left-center,mixed
dailycommercial.com,usa,left-center,high
gazettenet.com,usa,left-center,high
daily-jeff.com,usa,left-center,high
monitor.co.ug,uganda,left-center,mixed
mirror.co.uk,united kingdom,left-center,mixed
nation.africa,kenya,left-center,mixed
dnj.com,usa,left-center,high
dailypostathenian.com,usa,left-center,high
thedailyscrumnews.com,usa,left-center,mixed
dailytrust.com,nigeria,left-center,mixed
commercial-news.com,usa,left-center,high
dataforprogress.org,usa,left-center,high
dawn.com,pakistan,left-center,mixed
dawsoncreekmirror.ca,canada,left-center,high
rheaheraldnews.com,usa,left-center,high
dcist.com,usa,left-center,high
dcreport.org,usa,left-center,high
deadline.com,usa,left-center,high
deathpenaltyinfo.org,usa,left-center,high
deccanherald.com,india,left-center,mixed
